Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
Hiventures,https://www.crunchbase.com/organization/hiventures,748,7,"Budapest, Budapest, Hungary",Venture Capital Fund Management Company,"Corporate Venture Capital, Micro VC, University Program, Venture Capital","Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",48,"10,868"
Hub71,https://www.crunchbase.com/organization/hub71,22,,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Hub71 is a community of founders, investors and business enablers that form a unique technology ecosystem strategically located in Abu Dhabi",Government Office,,20,"10,686"
Small Business Innovation Research,https://www.crunchbase.com/organization/small-business-innovation-research,113,6,"America, Alabama, United States",SBIR is a government program strengthening the role of innovative small business concerns in federally-funded research and development.,Government Office,,87,"10,626"
Canadian Space Agency,https://www.crunchbase.com/organization/canadian-space-agency,24,1,"Montreal, Quebec, Canada",The CSA is committed to leading the development and application of space knowledge for the benefit of Canadians.,Government Office,,18,"10,268"
Mississippi Department of Environmental Quality,https://www.crunchbase.com/organization/mississippi-department-of-environmental-quality,1,,"Jackson, Mississippi, United States",Mississippi Department of Environmental Quality is a government organization that focuses on sustainability issues.,Government Office,,1,"10,210"
Virginia Community Capital,https://www.crunchbase.com/organization/virginia-community-capital,1,,"Christiansburg, Virginia, United States","Virginia Community Capital is a vision to create jobs, enhance the quality of life, and promote vibrant communities.",Government Office,,,"10,142"
NIST,https://www.crunchbase.com/organization/nist,12,2,"Gaithersburg, Maryland, United States","NIST is the federal technology agency that works with industry to develop and apply technology, measurements, and standards.",Government Office,,5,"10,108"
National Telecommunications and Information Administration,https://www.crunchbase.com/organization/national-telecommunications-and-information-administration,78,4,"Washington, District of Columbia, United States",NTIA is the Executive Branch agency that is principally responsible for advising the President on telecommunications and information policy.,Government Office,,77,"10,097"
University of Nebraska Medical Center,https://www.crunchbase.com/organization/university-of-nebraska-medical-center,1,,"Omaha, Nebraska, United States",University of Nebraska - Medical Center is a school in Omaha.,University Program,,,"10,096"
Regents of The University of Minnesota,https://www.crunchbase.com/organization/regents-of-the-university-of-minnesota,1,,"Minneapolis, Minnesota, United States","University of Minnesota provides outreach and education services to communities through science-based knowledge, expertise, and more.",University Program,,,"9,933"
Almi Invest,https://www.crunchbase.com/organization/almi-invest,608,42,"Stockholm, Stockholms Lan, Sweden",Almi Invest is a venture capital company that invests in Swedish companies with scalable business models.,"Government Office, Venture Capital",Seed,192,"9,907"
Business Development Bank of Canada,https://www.crunchbase.com/organization/business-development-bank-of-canada,343,77,"Montréal, Quebec, Canada",BDC is the only bank dedicated exclusively to entrepreneurs.,"Government Office, Venture Capital","Early Stage Venture, Late Stage Venture, Private Equity, Seed",141,"9,894"
CalPERS,https://www.crunchbase.com/organization/calpers-2,6,5,"Sacramento, California, United States","They administer health and retirement benefits on behalf of more than 3,000 public school, local agency and State employers.",Government Office,,3,"9,842"
Sustainable Development Technology Canada,https://www.crunchbase.com/organization/sustainable-development-technologycanada,286,31,"Ottawa, Ontario, Canada",SDTC fund Canadian cleantech projects and coach the companies that lead them as they move their ground-breaking technologies to market.,"Government Office, Venture Capital",Grant,215,"9,759"
Community Development Financial Institutions Fund,https://www.crunchbase.com/organization/community-development-financial-institutions-fund-cdfi-fund,617,12,"Washington, District of Columbia, United States",Community Development Financial Institutions Fund provides customized resources and creative programs.,Government Office,,604,"9,750"
First Horizon Bank,https://www.crunchbase.com/organization/first-horizon-bank,9,3,"Raleigh, North Carolina, United States","First Horizon Bank provides personal, business, and corporate banking, and private client services, to families and businesses.",Government Office,,5,"9,669"
Massachusetts Clean Energy Center,https://www.crunchbase.com/organization/massachusetts-clean-energy-center,251,30,"Boston, Massachusetts, United States",Massachusetts Clean Energy Center offers energy development and implementation services for cleantech businesses.,"Government Office, Venture Capital","Early Stage Venture, Seed",201,"9,640"
Oregon Department of Environmental Quality,https://www.crunchbase.com/organization/oregon-department-of-environmental-quality,1,,"Salem, Oregon, United States","Oregon DEQ is a mission of restorIng, maintaining and enhancing the quality of Oregon air,land and water",Government Office,,,"9,607"
City of Concord,https://www.crunchbase.com/organization/city-of-concord,1,,"Concord, California, United States","City of Concord is a government recreation facility that features community pool, tourism, park, and event venues.",Government Office,,1,"9,567"
Gies College of Business - University of Illinois Urbana-Champaign,https://www.crunchbase.com/organization/uiuc-college-of-business,3,,"Champaign, Illinois, United States",University of Illinois at Urbana-Champaign-College of Business (UIUC),University Program,,,"9,543"
Cyvia and Melvyn Wolff Center for Entrepreneurship,https://www.crunchbase.com/organization/cyvia-and-melvyn-wolff-center-for-entrepreneurship,1,,"Houston, Texas, United States",Cyvia and Melvyn Wolff Center for Entrepreneurship prepares students to assume leadership roles in the business world.,"Entrepreneurship Program, University Program",,,"9,459"
Innovation Park of Tallahassee,https://www.crunchbase.com/organization/innovation-park-of-tallahassee,1,,"Tallahassee, Florida, United States",Innovation Park of Tallahassee is the premier research and development park.,Government Office,Grant,,"9,453"
The Austrian Research Promotion Agency (FFG),https://www.crunchbase.com/organization/theaustrian-researchpromotion-agency-ffg,47,2,"Vienna, Wien, Austria",The Austrian Research Promotion Agency (FFG) is the national funding institution for applied research and development in Austria.,"Government Office, Venture Capital",,11,"9,452"
Medicines and Healthcare products Regulatory Agency,https://www.crunchbase.com/organization/medicines-and-healthcare-products-regulatory-agency,1,1,"London, England, United Kingdom","An executive agency of the Department of Health, exists to enhance and improve the health of millions of people every day.",Government Office,,1,"9,341"
Israel Innovation Authority,https://www.crunchbase.com/organization/israel-innovation-authority,141,18,"Jerusalem, Yerushalayim, Israel",Israel Innovation Authority is Israel's central agency to manage the country’s governmental support of innovation.,Government Office,,56,"9,315"
University of Cambridge Enterprise,https://www.crunchbase.com/organization/university-of-cambridge-enterprise,99,4,"Cambridge, Cambridgeshire, United Kingdom",Cambridge Enterprise helps the University of Cambridge's researchers & academics to commercialise their ideas for the benefit of society.,University Program,"Early Stage Venture, Late Stage Venture, Seed",37,"9,288"
Bank of England,https://www.crunchbase.com/organization/bank-of-england,1,,"London, England, United Kingdom",The Bank of England serves as the central bank of the United Kingdom.,Government Office,,1,"9,286"
Seoul National University Technology Holdings,https://www.crunchbase.com/organization/seoul-national-university-technology-holdings,8,,"Seoul, Seoul-t'ukpyolsi, South Korea",Seoul National University Technology Holdings offers investment services.,University Program,,6,"9,269"
Eurostars,https://www.crunchbase.com/organization/eurostars,84,7,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",This programme is a European Joint Programme dedicated to stimulating R&D performing SMEs.,Government Office,,55,"9,204"
ARPA-E,https://www.crunchbase.com/organization/arpa-e,76,7,"Washington, District of Columbia, United States","ARPA-E advances high-potential, high-impact energy technologies that are too early for private-sector investment.",Government Office,,59,"9,101"
Harvard Business School,https://www.crunchbase.com/organization/harvard-business-school,9,1,"Boston, Massachusetts, United States","Harvard Business School is an educational institution that offers two-year residential programs leading to an MBA, Ph.D., or DBA degree.",University Program,,2,"9,063"
Fisheries and Oceans Canada,https://www.crunchbase.com/organization/fisheries-and-oceans-canada,5,,"Ottawa, Ontario, Canada",Fisheries and Oceans Canada develop and implement policies and programs for the conservation and protection of fisheries resources.,Government Office,,5,"8,954"
