Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
Alpine Jan-San,https://www.crunchbase.com/organization/alpine-jan-san,Facilities Support Services,"Alberta, Virginia, United States",Alpine Jan-San is a provider of commercial washroom hygiene services.,"3,201,262","East Coast, Southern US",Active,,,2017-04-05,day,,,For Profit,,Alpine Jan-San is a provider of commercial washroom hygiene services.,Administrative Services,,,,M&A,,,,,,,,,
Carvacious,https://www.crunchbase.com/organization/carvacious,"Automotive, E-Commerce, Lifestyle","Playa Vista, California, United States",Carvacious is an e-commerce platform that provides automotive lifestyle products.,"3,201,268","Greater Los Angeles Area, West Coast, Western US",Closed,2013-09-04,day,,,,none,For Profit,http://www.carvacious.com,"Carvacious is an e-commerce platform that provides automotive lifestyle products. It also offers brand merchandise, watches, gadgets, camera equipment, collector cars, artwork, and exclusive event packages. Carvacious was founded by Alex Greer in September 2013 and is based in Playa Vista, California.","Commerce and Shopping, Community and Lifestyle, Transportation",1,1-10,,,,,,,,,,,
OptiView Technologies,https://www.crunchbase.com/organization/optiview-technologies,"Product Design, Robotics, Software","Jacksonville, Florida, United States",OptiView technologies designs and develops software content acceleration products for Web content acceleration industry.,"3,201,274","East Coast, Southern US",Closed,,,,,,none,For Profit,http://reg.optiview.com,,"Design, Hardware, Science and Engineering, Software",,1-10,,,,,,,,,,,
Burial Insurance,https://www.crunchbase.com/organization/burial-insurance,"Financial Services, Insurance, Online Portals","Los Angeles, California, United States",Burial Insurance is an online marketplace to connects consumers with insurance agents and companies.,"3,201,278","Greater Los Angeles Area, West Coast, Western US",Active,,,,,,,For Profit,https://www.burial-expense.com/,,"Financial Services, Internet Services",,11-50,,,,,,,,,,,
RovingBox,https://www.crunchbase.com/organization/rovingbox,"E-Commerce, Internet, Real Estate, Social Media","Seattle, Washington, United States",Self Storage marketplace creator,"3,201,279","Greater Seattle Area, West Coast, Western US",Closed,2013-03-01,day,,,,none,For Profit,http://www.rovingbox.com,"RovingBox.com enables homeowners to earn money by renting out the extra space in their garage, attic or basement to people whom need extra storage space. RovingBox has launched a service to benefit those who find traditional self-storage options too inflexible and expensive. The RovingBox website (www.rovingbox.com) helps match local homeowners whom have unused storage space in their garage, attic or basement with people who need storage space for their personal items.       ""RovingBox provides a great way for homeowners to earn passive income by simply renting out a corner of their garage to people who need storage space for their stuff.  For the homeowner it makes good financial sense, and renters benefit by having a storage space that is often more affordable and flexible than they’d otherwise get by signing a lease on a traditional storage unit."" says Zachary Price, Co-founder of RovingBox. “With the rise of the new ‘Sharing Economy’ we saw that the Self-Storage industry could use a makeover. Our service upends traditional self-storage business models by creating a marketplace where people can list and rent unused space. We are excited to help homeowners to make extra money every month, while providing would-be renters with inexpensive and environmentally friendly storage options in their neighborhood.” How RovingBox.com works is simple. All homeowners have to do is create a listing on RovingBox.com which includes photos and a description of the space for rent, plus and what their ""House Rules"" are (what a renter is able to store and when they can access their stored goods). Those needing storage or parking can search the RovingBox for storage options in their area and then request a booking. The space owner is then able to review the request and discuss all details and concerns with the renter before confirming the request. Getting paid is easy; once the home owner just accepts the offer and the renter moves their things into the space, RovingBox charges the renter’s credit card and deposits the rent payments into the homeowners banking or PayPal account.  To establish security and maintain trust between renters and homeowners, RovingBox.com offers: •	A public rating system on which RovingBox customers rate each other based on a set of criteria. •	A messaging system that enables people to chat and get to know each other before confirming a space rental. The system is also used for requesting rental space access. •	A three-day refund guarantee. A renter can get his or her money refunded even after making a booking if he or she does not feel comfortable with the renter or the space itself after the first contact.  Please visit http://www.rovingbox.com for more information.","Commerce and Shopping, Internet Services, Media and Entertainment, Real Estate",1,1-10,,,,,,,,,,,
Mana Cinema News,https://www.crunchbase.com/organization/mana-cinema-news,News,"Chicago, Illinois, United States",Mana Cinema News is a website which provides news about movies and actors.,"3,201,282","Greater Chicago Area, Great Lakes, Midwestern US",Closed,,,,,,none,For Profit,http://www.manacinemanews.com,,"Content and Publishing, Media and Entertainment",,11-50,,,,,,,,,,,
Global Home Finders Realty,https://www.crunchbase.com/organization/global-home-finders-realty,"Property Management, Real Estate, Residential","San Benito, Texas, United States","Global Home Finders Realty specializes in commercial and residential sales, property management, buyers and sellers representation.","3,201,285",Southern US,Active,,,,,,,For Profit,https://www.globalhomefinders.us/,,Real Estate,,,,,,,,,,,,,
Billboards for Education,https://www.crunchbase.com/organization/billboards-for-education,"Brand Marketing, Marketing","Ooltewah, Tennessee, United States",Billboards for Education has a charitable purpose to give hope & support to local educators who struggle with a lack of classroom resources.,"3,201,289",Southern US,Active,2014-01-01,year,,,,,For Profit,https://billboardsforeducation.com,,Sales and Marketing,,1-10,,,,,,,,,,,
Dr. Riyaz Hassanali: Advanced Cosmetic Surgery Center,https://www.crunchbase.com/organization/dr-riyaz-hassanali-advanced-cosmetic-surgery-center,"Health Care, Medical","Buffalo, New York, United States",Since 1991 Dr.Riyaz Hassanali has offered a variety of affordable surgical and non-surgical procedures.,"3,201,292","Great Lakes, East Coast, Northeastern US",Active,1991-01-01,day,,,,,For Profit,https://www.riyazhassanali.com/,"Dr. Riyaz Hassanali finished his medical education at the State University of New York at Buffalo School of Medicine. He followed his time at State University with a residency in dermatology at the University of Buffalo Consortium Hospitals. Upon completion of his residency, Dr. Riyaz Hassanali was chosen to do a fellowship in cosmetic surgery with Thomas Alt, M.D. who is a past president of the American Academy of Cosmetic Surgery and a world leader in hair restorative surgery. In 1991 Dr. Hassanali opened his own practice and has been delivering exceptional cosmetic results to clients ever since.",Health Care,1,1-10,,,,,,,,,,,
Cannello Agency,https://www.crunchbase.com/organization/cannello-agency,"Financial Services, Health Insurance, Insurance, Life Insurance","Niagara Falls, New York, United States","Cannello Agency is a provider of insurance services that offers insurance policies to auto, boat, homeowners.","3,201,293","East Coast, Northeastern US",Closed,1961-01-01,year,2013-02-05,day,,none,For Profit,http://www.cannelloagency.com/,"Cannello Agency is a provider of insurance services that offers insurance policies to auto, boat, homeowners.",Financial Services,,,,M&A,,,,,,,,,
South State,https://www.crunchbase.com/organization/south-state,"Advice, Finance, Financial Services","Charleston, South Carolina, United States","Southern State is a financial management firm that offers financial, retirement planning, and investment consulting services.","3,201,294","East Coast, Southern US",Active,,,,,,,For Profit,https://southstate401k.com,,"Financial Services, Media and Entertainment",,101-250,,,,,,,,,,,
Brent Young Agency,https://www.crunchbase.com/organization/brent-young-agency,"Auto Insurance, Commercial Insurance, Insurance, Life Insurance, Property Insurance","Manchester, Connecticut, United States","Brent Young insurance provides auto, home, life, and commercial insurance services.","3,201,299","East Coast, New England, Northeastern US",Active,1990-01-01,year,,,,,For Profit,https://www.brentyoungagency.com,"Brent Young insurance offers personal insurance services such as home, auto, condo, flood, boat, motorcycle, motor home, life, recreational vehicle, and renter insurance. They also provide business insurance services including general liability, commercial property, and business interruption services.",Financial Services,,11-50,,,,,,,,,,,
CFO Advantage Consulting,https://www.crunchbase.com/organization/cfo-advantage-consulting,"Consulting, Financial Services, Management Consulting","Highland, Indiana, United States",CFO Advantage Consulting provides business consulting services.,"3,201,299","Greater Chicago Area, Great Lakes, Midwestern US",Active,2008-01-01,year,,,,,For Profit,https://cfo4hyr.com,"CFO Advantage Consulting provides strategic financial management services to start-up, emerging, and turn-around companies. Their services range from bookkeeping to outsourced Controller oversight - to strategic CFO consulting.","Financial Services, Professional Services",,1-10,,,,,,,,,,,
Sarafina Nails & Spa,https://www.crunchbase.com/organization/sarafina-nails-spa,Beauty,"Roswell, Georgia, United States","Nail Salon in Roswell, GA","3,201,304","Greater Atlanta Area, East Coast, Southern US",Closed,,,,,,none,For Profit,http://sarafinanailsandspa.com,"Address: 1187 Alpharetta St, #110, Roswell, GA 30075, USA",Consumer Goods,,1-10,,,,,,,,,,,
